,,,,,,,
,,,,,,,
,,,,,,,
,16S BMS,,Battery pack charging/safety control,1,$29.99,$29.99,https://www.amazon.com/Bisida-16S-60V-30A-protections/dp/B0CC2M1Y6S/ref=sr_1_4?adgrpid=181740422330&dib=eyJ2IjoiMSJ9.p6QAfjkAuJjz0uO0yZxWzUO4A8Wj343H-nsSJb_-1Cv6v5zRoMhiC60QUj1uRDit3ek6b-F4yBctx1N7OWuK18WVPcvJo0B_yIBouZOsrcXiJapfx0LBF18vCIT0OCOCbwbe6PLAOrv2Z_rKslcilKmpWE9ABipVRR5pscWBkR-XtIPY_vQuMzVry-Ih36B4jegbhoS60Vtm69SIplNVFftjTyxtiCrnJmPa0xOfvQg.KnbepHEoKECkIRqRyiseNryF2QXzgViXbvZHndZDtxY&dib_tag=se&hvadid=779671901207&hvdev=c&hvexpln=0&hvlocphy=9010767&hvnetw=g&hvocijid=17463574740287526686--&hvqmt=e&hvrand=17463574740287526686&hvtargid=kwd-320380195394&hydadcr=8777_13604220_10471&keywords=16s%2Bbms&mcid=49bdc16473dc3822bc0c0e4032e08b3c&qid=1785010958&sr=8-4&th=1
,2mm Aluminum Sheets,,For the electronics compartments,2,UNIV,,
,Assorted Metal Rivets Set,,Joining parts together,1,$27.89,$27.89,https://www.amazon.com/Combination-Decoration-Automotive-Industrial-Applications/dp/B0D9PXY2RV/ref=sr_1_1_sspa?crid=2DJUCKX2N6EWU&dib=eyJ2IjoiMSJ9.pPWIO8nOzlxQDFE-vJnHmYiOa3Dz1gcAkYCPogaL24H4M5g6KSA-r6FW_RrCgAAxD5aAKZmGfzRXee-Xl1NjoG8tvGY9b-M9RNVSPQmD5TQbhh0JyjHtnKpvfRQ4E72chC49LDuQcUtU5SgWvg1CMhWvqnmp-JU-OXtqUn1kA5B17Q7uGxGdlGCo8k45gGDGNDJDAxX_LnEO3g_ttHZkKHqnGeaq9izSlUUnLHCTca-gRTuTCNMLRQt8FXDmsrUYImz-xJKFRI1YWTTYAf9bn9dR2R_xh-s_XMgijIzp5JY.TMslbBYyoErbcQitRKnysky4QQfwiuMmT9Fc1NejfKw&dib_tag=se&keywords=rivet%2Bnut&qid=1785008824&s=industrial&sprefix=rivet%2Bnu%2Cindustrial%2C174&sr=1-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1
,Assorted Metric Screws Set,,Joining parts together,1,Already Have,,
,Wooden Plates,,Footpads,1,UNIV,,
,,,,,,,
,Objectives:,,,,,,
,,,,,,,
,"● Works in any weather, especially snow/iced roads",,,,,,
,● Has at least 15 miles of range,,,,,,
,● Built through Macondo/Stardance,,,,,,
,● Must cost less than a commercial OneWheel,,,,,,
,● Fully Open Source,,,,,,
,,,,,,,
,Onshape Link,CAD Document,,,,,
,,,,,,,
,,748.16,,,,,
,,,,,,,
,Total Cost: ,748.16,,,,,
,,,,,,,
,"*There is a chance that this cost might go down since my university may have more parts than I realised, but I won't know until I move in. ",,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
