Item,,Purpose,Quantity,Price,Total(Taxes + Shipping),Link
2mm Aluminum Sheets,,For the electronics compartments,2,UNIV,$22.59,https://www.amazon.com/DAJAVE-Aluminum-Protective-Polished-Deburred/dp/B0DHVP74C5/ref=sr_1_8?crid=25W1ZN5FY5PHT&dib=eyJ2IjoiMSJ9.ebjgfbLyRo-AxmiJ0txj6iDuIeiwCTb4hL3f09MmRqMyiG4hw5EF_DvibQQgIh7Zp8Wwo0p2G2Vttlj9Q3lG7h1Om2aDyNrpV0lgaUHw-5J62XRLzIILa4KQU0emW8m5VMa3G_q69tNk0dRk6yel1ZH7PVdeFdCd1vfajmS4VHPAo_s4JFdgQQpG5zjEpRZ-tcwMrRsBviQjjJ6MQVdzpcCwr-TaqFI3LWSNKekhALU.4-laZxZu81gPRBf7gMBsxRnNXFqlAhXgEWE5tXJFqOs&dib_tag=se&keywords=2mm+aluminum+sheets&qid=1785206724&sprefix=2mm+aluminum+sheet%2Caps%2C161&sr=8-8
Assorted Metal Rivets Set,,Joining parts together,1,$27.89,$27.89,https://www.amazon.com/Combination-Decoration-Automotive-Industrial-Applications/dp/B0D9PXY2RV/ref=sr_1_1_sspa?crid=2DJUCKX2N6EWU&dib=eyJ2IjoiMSJ9.pPWIO8nOzlxQDFE-vJnHmYiOa3Dz1gcAkYCPogaL24H4M5g6KSA-r6FW_RrCgAAxD5aAKZmGfzRXee-Xl1NjoG8tvGY9b-M9RNVSPQmD5TQbhh0JyjHtnKpvfRQ4E72chC49LDuQcUtU5SgWvg1CMhWvqnmp-JU-OXtqUn1kA5B17Q7uGxGdlGCo8k45gGDGNDJDAxX_LnEO3g_ttHZkKHqnGeaq9izSlUUnLHCTca-gRTuTCNMLRQt8FXDmsrUYImz-xJKFRI1YWTTYAf9bn9dR2R_xh-s_XMgijIzp5JY.TMslbBYyoErbcQitRKnysky4QQfwiuMmT9Fc1NejfKw&dib_tag=se&keywords=rivet%2Bnut&qid=1785008824&s=industrial&sprefix=rivet%2Bnu%2Cindustrial%2C174&sr=1-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1
Assorted Metric Screws Set,,Joining parts together,1,Already Have,,
Wooden Plates,,Footpads,1,UNIV,,
,,,,,,"*Some of the parts say ""Kit"" which means those parts are bought as a kit for $325 (~$390 plus shipping & taxes)"
Total Cost: ,690.28,,,,,"*Some of the parts say ""UNIV"" which means my university may already have those parts when I move in, but I'm not sure"
,,,,,,
"*There is a chance that this cost might go down since my university may have more parts than I realised, but I won't know until I move in. ",,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,750.28,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
